,key,values,0
644,"['2015', '405-2', '02', '0']","['100.0', '.', '.', '3162', '10.08', '3168', '...', '...']",
645,"['2015', '405-2', '03', '2']","['100.0', '.', '.', '1812', '9.77', '1812', '...', '...']",
646,"['2015', '405-2', '03', '1']","['100.0', '.', '.', '451', '9.88', '451', '10.18', '61']",
647,"['2015', '405-2', '03', '0']","['100.0', '.', '.', '1361', '9.69', '1361', '...', '...']",
648,"['2015', 'A10', '00', '2']","['100.0', '.', '.', '17525', '10.27', '17595', '...', '...']",
649,"['2015', 'A10', '00', '1']","['100.0', '.', '.', '7841', '10.23', '7885', '10.81', '708']",
650,"['2015', 'A10', '00', '0']","['100.0', '.', '.', '9684', '10.32', '9710', '...', '...']",
651,"['2015', 'A10', '01', '2']","['100.0', '.', '.', '6045', '12.34', '6082', '...', '...']",
652,"['2015', 'A10', '01', '1']","['100.0', '.', '.', '3609', '13.11', '3644', '13.47', '276']",
653,"['2015', 'A10', '01', '0']","['100.0', '.', '.', '2436', '11.04', '2438', '...', '...']",
654,"['2015', 'A10', '02', '2']","['100.0', '.', '.', '8038', '9.74', '8067', '...', '...']",
655,"['2015', 'A10', '02', '1']","['100.0', '.', '.', '3237', '9.33', '3246', '10.24', '291']",
656,"['2015', 'A10', '02', '0']","['100.0', '.', '.', '4801', '10.26', '4821', '...', '...']",
657,"['2015', 'A10', '03', '2']","['100.0', '.', '.', '3442', '9.47', '3446', '...', '...']",
658,"['2015', 'A10', '03', '1']","['100.0', '.', '.', '995', '8.96', '995', '10.00', '141']",
659,"['2015', 'A10', '03', '0']","['100.0', '.', '.', '2447', '9.96', '2451', '...', '...']",
660,"['2015', '491', '00', '2']","['100.0', '.', '.', '7573', '10.95', '7604', '...', '...']",
661,"['2015', '491', '00', '1']","['100.0', '.', '.', '3512', '10.93', '3531', '11.80', '307']",
662,"['2015', '491', '00', '0']","['100.0', '.', '.', '4061', '10.99', '4073', '...', '...']",
663,"['2015', '491', '01', '2']","['100.0', '.', '.', '2484', '14.00', '2498', '...', '...']",
664,"['2015', '491', '01', '1']","['100.0', '.', '.', '1663', '14.89', '1677', '15.68', '114']",
665,"['2015', '491', '01', '0']","['100.0', '.', '.', '821', '11.81', '821', '...', '...']",
666,"['2015', '491', '02', '2']","['100.0', '.', '.', '3324', '10.24', '3337', '...', '...']",
667,"['2015', '491', '02', '1']","['100.0', '.', '.', '1333', '9.76', '1338', '11.40', '110']",
668,"['2015', '491', '02', '0']","['100.0', '.', '.', '1991', '11.01', '1999', '...', '...']",
669,"['2015', '491', '03', '2']","['100.0', '.', '.', '1765', '9.89', '1769', '...', '...']",
670,"['2015', '491', '03', '1']","['100.0', '.', '.', '516', '9.32', '516', '10.61', '83']",
671,"['2015', '491', '03', '0']","['100.0', '.', '.', '1249', '10.58', '1253', '...', '...']",
672,"['2015', 'A11', '00', '2']","['100.0', '.', '.', '37451', '10.77', '37560', '...', '...']",
673,"['2015', 'A11', '00', '1']","['100.0', '.', '.', '18033', '11.29', '18118', '11.85', '1813']",
674,"['2015', 'A11', '00', '0']","['100.0', '.', '.', '19418', '10.05', '19442', '...', '...']",
675,"['2015', 'A11', '01', '2']","['100.0', '.', '.', '12512', '12.98', '12572', '...', '...']",
676,"['2015', 'A11', '01', '1']","['100.0', '.', '.', '7635', '14.19', '7691', '14.38', '697']",
677,"['2015', 'A11', '01', '0']","['100.0', '.', '.', '4877', '10.90', '4881', '...', '...']",
678,"['2015', 'A11', '02', '2']","['100.0', '.', '.', '17763', '10.22', '17794', '...', '...']",
679,"['2015', 'A11', '02', '1']","['100.0', '.', '.', '8187', '10.42', '8209', '11.55', '799']",
680,"['2015', 'A11', '02', '0']","['100.0', '.', '.', '9576', '9.94', '9585', '...', '...']",
681,"['2015', 'A11', '03', '2']","['100.0', '.', '.', '7176', '9.80', '7194', '...', '...']",
682,"['2015', 'A11', '03', '1']","['100.0', '.', '.', '2211', '9.94', '2218', '10.49', '317']",
683,"['2015', 'A11', '03', '0']","['100.0', '.', '.', '4965', '9.65', '4976', '...', '...']",
684,"['2015', '297', '00', '2']","['100.0', '.', '.', '25778', '11.54', '25839', '...', '...']",
685,"['2015', '297', '00', '1']","['100.0', '.', '.', '12727', '12.15', '12769', '13.33', '1184']",
686,"['2015', '297', '00', '0']","['100.0', '.', '.', '13051', '10.65', '13070', '...', '...']",
687,"['2015', '297', '01', '2']","['100.0', '.', '.', '8617', '14.59', '8653', '...', '...']",
688,"['2015', '297', '01', '1']","['100.0', '.', '.', '5342', '15.93', '5375', '16.62', '445']",
689,"['2015', '297', '01', '0']","['100.0', '.', '.', '3275', '11.88', '3278', '...', '...']",
690,"['2015', '297', '02', '2']","['100.0', '.', '.', '12045', '10.86', '12059', '...', '...']",
691,"['2015', '297', '02', '1']","['100.0', '.', '.', '5874', '11.03', '5881', '12.96', '533']",
692,"['2015', '297', '02', '0']","['100.0', '.', '.', '6171', '10.59', '6178', '...', '...']",
693,"['2015', '297', '03', '2']","['100.0', '.', '.', '5116', '10.24', '5127', '...', '...']",
694,"['2015', '297', '03', '1']","['100.0', '.', '.', '1511', '10.43', '1513', '11.51', '206']",
695,"['2015', '297', '03', '0']","['100.0', '.', '.', '3605', '10.06', '3614', '...', '...']",
696,"['2015', '297-1', '00', '2']","['100.0', '.', '.', '12567', '12.05', '12602', '...', '...']",
697,"['2015', '297-1', '00', '1']","['100.0', '.', '.', '6475', '12.87', '6502', '14.54', '521']",
698,"['2015', '297-1', '00', '0']","['100.0', '.', '.', '6092', '10.72', '6100', '...', '...']",
699,"['2015', '297-1', '01', '2']","['100.0', '.', '.', '4075', '16.05', '4099', '...', '...']",
700,"['2015', '297-1', '01', '1']","['100.0', '.', '.', '3166', '17.02', '3190', '17.81', '244']",
701,"['2015', '297-1', '01', '0']","['100.0', '.', '.', '909', '12.08', '909', '...', '...']",
702,"['2015', '297-1', '02', '2']","['100.0', '.', '.', '5977', '11.22', '5983', '...', '...']",
703,"['2015', '297-1', '02', '1']","['100.0', '.', '.', '2636', '11.49', '2638', '14.16', '197']",
704,"['2015', '297-1', '02', '0']","['100.0', '.', '.', '3341', '10.78', '3345', '...', '...']",
705,"['2015', '297-1', '03', '2']","['100.0', '.', '.', '2515', '10.30', '2520', '...', '...']",
706,"['2015', '297-1', '03', '1']","['100.0', '.', '.', '673', '10.40', '674', '12.04', '80']",
707,"['2015', '297-1', '03', '0']","['100.0', '.', '.', '1842', '10.22', '1846', '...', '...']",
708,"['2015', '297-2', '00', '2']","['100.0', '.', '.', '13211', '11.12', '13237', '...', '...']",
709,"['2015', '297-2', '00', '1']","['100.0', '.', '.', '6252', '11.51', '6267', '12.52', '663']",
710,"['2015', '297-2', '00', '0']","['100.0', '.', '.', '6959', '10.60', '6970', '...', '...']",
711,"['2015', '297-2', '01', '2']","['100.0', '.', '.', '4542', '13.43', '4554', '...', '...']",
712,"['2015', '297-2', '01', '1']","['100.0', '.', '.', '2176', '14.70', '2185', '15.57', '201']",
713,"['2015', '297-2', '01', '0']","['100.0', '.', '.', '2366', '11.81', '2369', '...', '...']",
714,"['2015', '297-2', '02', '2']","['100.0', '.', '.', '6068', '10.56', '6076', '...', '...']",
715,"['2015', '297-2', '02', '1']","['100.0', '.', '.', '3238', '10.63', '3243', '12.19', '336']",
716,"['2015', '297-2', '02', '0']","['100.0', '.', '.', '2830', '10.44', '2833', '...', '...']",
717,"['2015', '297-2', '03', '2']","['100.0', '.', '.', '2601', '10.19', '2607', '...', '...']",
718,"['2015', '297-2', '03', '1']","['100.0', '.', '.', '838', '10.46', '839', '11.19', '126']",
719,"['2015', '297-2', '03', '0']","['100.0', '.', '.', '1763', '9.92', '1768', '...', '...']",
720,"['2015', 'A12', '00', '2']","['100.0', '.', '.', '23454', '10.21', '23504', '...', '...']",
721,"['2015', 'A12', '00', '1']","['100.0', '.', '.', '10904', '10.74', '10938', '11.35', '988']",
722,"['2015', 'A12', '00', '0']","['100.0', '.', '.', '12550', '9.49', '12566', '...', '...']",
723,"['2015', 'A12', '01', '2']","['100.0', '.', '.', '8352', '12.53', '8373', '...', '...']",
724,"['2015', 'A12', '01', '1']","['100.0', '.', '.', '5168', '13.69', '5183', '13.79', '416']",
725,"['2015', 'A12', '01', '0']","['100.0', '.', '.', '3184', '10.22', '3190', '...', '...']",
726,"['2015', 'A12', '02', '2']","['100.0', '.', '.', '10799', '9.54', '10823', '...', '...']",
727,"['2015', 'A12', '02', '1']","['100.0', '.', '.', '4559', '9.60', '4578', '10.87', '408']",
728,"['2015', 'A12', '02', '0']","['100.0', '.', '.', '6240', '9.45', '6245', '...', '...']",
729,"['2015', 'A12', '03', '2']","['100.0', '.', '.', '4303', '9.16', '4308', '...', '...']",
730,"['2015', 'A12', '03', '1']","['100.0', '.', '.', '1177', '9.26', '1177', '10.17', '164']",
731,"['2015', 'A12', '03', '0']","['100.0', '.', '.', '3126', '9.08', '3131', '...', '...']",
732,"['2015', '167', '00', '2']","['100.0', '.', '.', '17156', '10.87', '17199', '...', '...']",
733,"['2015', '167', '00', '1']","['100.0', '.', '.', '8662', '11.40', '8691', '12.45', '750']",
734,"['2015', '167', '00', '0']","['100.0', '.', '.', '8494', '10.01', '8508', '...', '...']",
735,"['2015', '167', '01', '2']","['100.0', '.', '.', '6294', '13.95', '6314', '...', '...']",
736,"['2015', '167', '01', '1']","['100.0', '.', '.', '4230', '15.04', '4244', '15.16', '332']",
737,"['2015', '167', '01', '0']","['100.0', '.', '.', '2064', '11.00', '2070', '...', '...']",
738,"['2015', '167', '02', '2']","['100.0', '.', '.', '7725', '9.94', '7745', '...', '...']",
739,"['2015', '167', '02', '1']","['100.0', '.', '.', '3534', '9.89', '3549', '11.96', '295']",
740,"['2015', '167', '02', '0']","['100.0', '.', '.', '4191', '10.02', '4196', '...', '...']",
741,"['2015', '167', '03', '2']","['100.0', '.', '.', '3137', '9.54', '3140', '...', '...']",
742,"['2015', '167', '03', '1']","['100.0', '.', '.', '898', '9.60', '898', '10.91', '123']",
743,"['2015', '167', '03', '0']","['100.0', '.', '.', '2239', '9.51', '2242', '...', '...']",
744,"['2015', '167-1', '00', '2']","['100.0', '.', '.', '7186', '11.86', '7213', '...', '...']",
745,"['2015', '167-1', '00', '1']","['100.0', '.', '.', '6210', '11.97', '6234', '13.29', '439']",
746,"['2015', '167-1', '00', '0']","['100.0', '.', '.', '976', '11.08', '979', '...', '...']",
747,"['2015', '167-1', '01', '2']","['100.0', '.', '.', '3602', '15.18', '3616', '...', '...']",
748,"['2015', '167-1', '01', '1']","['100.0', '.', '.', '3315', '15.55', '3329', '15.98', '225']",
749,"['2015', '167-1', '01', '0']","['100.0', '.', '.', '287', '11.88', '287', '...', '...']",
750,"['2015', '167-1', '02', '2']","['100.0', '.', '.', '2832', '10.17', '2845', '...', '...']",
751,"['2015', '167-1', '02', '1']","['100.0', '.', '.', '2332', '10.05', '2342', '12.35', '161']",
752,"['2015', '167-1', '02', '0']","['100.0', '.', '.', '500', '11.11', '503', '...', '...']",
753,"['2015', '167-1', '03', '2']","['100.0', '.', '.', '752', '9.94', '752', '...', '...']",
754,"['2015', '167-1', '03', '1']","['100.0', '.', '.', '563', '9.91', '563', '11.46', '53']",
755,"['2015', '167-1', '03', '0']","['100.0', '.', '.', '189', '10.06', '189', '...', '...']",
756,"['2015', '167-2', '00', '2']","['100.0', '.', '.', '9970', '10.06', '9986', '...', '...']",
757,"['2015', '167-2', '00', '1']","['100.0', '.', '.', '2452', '10.38', '2457', '11.57', '311']",
758,"['2015', '167-2', '00', '0']","['100.0', '.', '.', '7518', '9.84', '7529', '...', '...']",
759,"['2015', '167-2', '01', '2']","['100.0', '.', '.', '2692', '12.07', '2698', '...', '...']",
760,"['2015', '167-2', '01', '1']","['100.0', '.', '.', '915', '13.55', '915', '13.81', '107']",
761,"['2015', '167-2', '01', '0']","['100.0', '.', '.', '1777', '10.74', '1783', '...', '...']",
762,"['2015', '167-2', '02', '2']","['100.0', '.', '.', '4893', '9.75', '4900', '...', '...']",
763,"['2015', '167-2', '02', '1']","['100.0', '.', '.', '1202', '9.63', '1207', '11.48', '134']",
764,"['2015', '167-2', '02', '0']","['100.0', '.', '.', '3691', '9.83', '3693', '...', '...']",
765,"['2015', '167-2', '03', '2']","['100.0', '.', '.', '2385', '9.39', '2388', '...', '...']",
766,"['2015', '167-2', '03', '1']","['100.0', '.', '.', '335', '9.26', '335', '10.60', '70']",
767,"['2015', '167-2', '03', '0']","['100.0', '.', '.', '2050', '9.45', '2053', '...', '...']",
768,"['2015', 'A13', '00', '2']","['100.0', '.', '.', '43553', '10.93', '43684', '...', '...']",
769,"['2015', 'A13', '00', '1']","['100.0', '.', '.', '23980', '11.27', '24080', '12.00', '2686']",
770,"['2015', 'A13', '00', '0']","['100.0', '.', '.', '19573', '10.48', '19604', '...', '...']",
771,"['2015', 'A13', '01', '2']","['100.0', '.', '.', '14081', '13.23', '14138', '...', '...']",
772,"['2015', 'A13', '01', '1']","['100.0', '.', '.', '9091', '14.32', '9131', '14.76', '794']",
773,"['2015', 'A13', '01', '0']","['100.0', '.', '.', '4990', '11.41', '5007', '...', '...']",
774,"['2015', 'A13', '02', '2']","['100.0', '.', '.', '21326', '10.47', '21396', '...', '...']",
775,"['2015', 'A13', '02', '1']","['100.0', '.', '.', '11542', '10.57', '11599', '11.97', '1355']",
776,"['2015', 'A13', '02', '0']","['100.0', '.', '.', '9784', '10.34', '9797', '...', '...']",
777,"['2015', 'A13', '03', '2']","['100.0', '.', '.', '8146', '9.97', '8150', '...', '...']",
778,"['2015', 'A13', '03', '1']","['100.0', '.', '.', '3347', '9.82', '3350', '10.55', '537']",
779,"['2015', 'A13', '03', '0']","['100.0', '.', '.', '4799', '10.14', '4800', '...', '...']",
780,"['2015', '179', '00', '2']","['100.0', '.', '.', '33636', '11.62', '33748', '...', '...']",
781,"['2015', '179', '00', '1']","['100.0', '.', '.', '19952', '12.00', '20042', '13.00', '2240']",
782,"['2015', '179', '00', '0']","['100.0', '.', '.', '13684', '11.05', '13706', '...', '...']",
783,"['2015', '179', '01', '2']","['100.0', '.', '.', '11122', '14.47', '11168', '...', '...']",
784,"['2015', '179', '01', '1']","['100.0', '.', '.', '7418', '15.71', '7451', '16.10', '654']",
785,"['2015', '179', '01', '0']","['100.0', '.', '.', '3704', '12.14', '3717', '...', '...']",
786,"['2015', '179', '02', '2']","['100.0', '.', '.', '16071', '11.04', '16133', '...', '...']",
787,"['2015', '179', '02', '1']","['100.0', '.', '.', '9718', '11.08', '9772', '12.88', '1147']",
788,"['2015', '179', '02', '0']","['100.0', '.', '.', '6353', '10.96', '6361', '...', '...']",
789,"['2015', '179', '03', '2']","['100.0', '.', '.', '6443', '10.46', '6447', '...', '...']",
790,"['2015', '179', '03', '1']","['100.0', '.', '.', '2816', '10.37', '2819', '11.33', '439']",
791,"['2015', '179', '03', '0']","['100.0', '.', '.', '3627', '10.56', '3628', '...', '...']",
792,"['2015', '179-1', '00', '2']","['100.0', '.', '.', '18218', '12.11', '18300', '...', '...']",
793,"['2015', '179-1', '00', '1']","['100.0', '.', '.', '11818', '12.57', '11887', '14.47', '1199']",
794,"['2015', '179-1', '00', '0']","['100.0', '.', '.', '6400', '11.24', '6413', '...', '...']",
795,"['2015', '179-1', '01', '2']","['100.0', '.', '.', '6528', '15.45', '6561', '...', '...']",
796,"['2015', '179-1', '01', '1']","['100.0', '.', '.', '4594', '16.77', '4617', '17.19', '364']",
797,"['2015', '179-1', '01', '0']","['100.0', '.', '.', '1934', '12.23', '1944', '...', '...']",
798,"['2015', '179-1', '02', '2']","['100.0', '.', '.', '8839', '11.20', '8884', '...', '...']",
799,"['2015', '179-1', '02', '1']","['100.0', '.', '.', '5850', '11.24', '5893', '14.20', '618']",
800,"['2015', '179-1', '02', '0']","['100.0', '.', '.', '2989', '11.11', '2991', '...', '...']",
801,"['2015', '179-1', '03', '2']","['100.0', '.', '.', '2851', '10.61', '2855', '...', '...']",
802,"['2015', '179-1', '03', '1']","['100.0', '.', '.', '1374', '10.49', '1377', '12.54', '217']",
803,"['2015', '179-1', '03', '0']","['100.0', '.', '.', '1477', '10.75', '1478', '...', '...']",
804,"['2015', '179-2', '00', '2']","['100.0', '.', '.', '15418', '11.17', '15448', '...', '...']",
805,"['2015', '179-2', '00', '1']","['100.0', '.', '.', '8134', '11.37', '8155', '11.76', '1041']",
806,"['2015', '179-2', '00', '0']","['100.0', '.', '.', '7284', '10.92', '7293', '...', '...']",
807,"['2015', '179-2', '01', '2']","['100.0', '.', '.', '4594', '13.30', '4607', '...', '...']",
808,"['2015', '179-2', '01', '1']","['100.0', '.', '.', '2824', '14.17', '2834', '14.73', '290']",
809,"['2015', '179-2', '01', '0']","['100.0', '.', '.', '1770', '12.06', '1773', '...', '...']",
810,"['2015', '179-2', '02', '2']","['100.0', '.', '.', '7232', '10.88', '7249', '...', '...']",
811,"['2015', '179-2', '02', '1']","['100.0', '.', '.', '3868', '10.89', '3879', '11.67', '529']",
812,"['2015', '179-2', '02', '0']","['100.0', '.', '.', '3364', '10.85', '3370', '...', '...']",
813,"['2015', '179-2', '03', '2']","['100.0', '.', '.', '3592', '10.37', '3592', '...', '...']",
814,"['2015', '179-2', '03', '1']","['100.0', '.', '.', '1442', '10.29', '1442', '10.61', '222']",
815,"['2015', '179-2', '03', '0']","['100.0', '.', '.', '2150', '10.46', '2150', '...', '...']",
816,"['2015', 'A14', '00', '2']","['100.0', '.', '.', '17245', '9.86', '17277', '...', '...']",
817,"['2015', 'A14', '00', '1']","['100.0', '.', '.', '8088', '9.96', '8117', '10.49', '830']",
818,"['2015', 'A14', '00', '0']","['100.0', '.', '.', '9157', '9.73', '9160', '...', '...']",
819,"['2015', 'A14', '01', '2']","['100.0', '.', '.', '4568', '11.48', '4580', '...', '...']",
820,"['2015', 'A14', '01', '1']","['100.0', '.', '.', '2761', '12.17', '2772', '12.92', '217']",
821,"['2015', 'A14', '01', '0']","['100.0', '.', '.', '1807', '10.48', '1808', '...', '...']",
822,"['2015', 'A14', '02', '2']","['100.0', '.', '.', '9229', '9.58', '9247', '...', '...']",
823,"['2015', 'A14', '02', '1']","['100.0', '.', '.', '3978', '9.60', '3995', '10.36', '383']",
824,"['2015', 'A14', '02', '0']","['100.0', '.', '.', '5251', '9.56', '5252', '...', '...']",
825,"['2015', 'A14', '03', '2']","['100.0', '.', '.', '3448', '9.26', '3450', '...', '...']",
826,"['2015', 'A14', '03', '1']","['100.0', '.', '.', '1349', '9.05', '1350', '9.85', '230']",
827,"['2015', 'A14', '03', '0']","['100.0', '.', '.', '2099', '9.58', '2100', '...', '...']",
828,"['2015', '743', '00', '2']","['100.0', '.', '.', '9747', '10.48', '9764', '...', '...']",
829,"['2015', '743', '00', '1']","['100.0', '.', '.', '5282', '10.56', '5297', '11.46', '502']",
830,"['2015', '743', '00', '0']","['100.0', '.', '.', '4465', '10.36', '4467', '...', '...']",
831,"['2015', '743', '01', '2']","['100.0', '.', '.', '2825', '12.76', '2834', '...', '...']",
832,"['2015', '743', '01', '1']","['100.0', '.', '.', '1998', '13.58', '2006', '14.34', '159']",
833,"['2015', '743', '01', '0']","['100.0', '.', '.', '827', '11.25', '828', '...', '...']",
834,"['2015', '743', '02', '2']","['100.0', '.', '.', '4963', '10.06', '4969', '...', '...']",
835,"['2015', '743', '02', '1']","['100.0', '.', '.', '2420', '9.97', '2426', '11.18', '199']",
836,"['2015', '743', '02', '0']","['100.0', '.', '.', '2543', '10.19', '2543', '...', '...']",
837,"['2015', '743', '03', '2']","['100.0', '.', '.', '1959', '9.66', '1961', '...', '...']",
838,"['2015', '743', '03', '1']","['100.0', '.', '.', '864', '9.38', '865', '10.66', '144']",
839,"['2015', '743', '03', '0']","['100.0', '.', '.', '1095', '10.11', '1096', '...', '...']",
840,"['2015', 'A15', '00', '2']","['100.0', '.', '.', '13689', '10.24', '13725', '...', '...']",
841,"['2015', 'A15', '00', '1']","['100.0', '.', '.', '7211', '10.31', '7234', '10.67', '518']",
842,"['2015', 'A15', '00', '0']","['100.0', '.', '.', '6478', '10.12', '6491', '...', '...']",
843,"['2015', 'A15', '01', '2']","['100.0', '.', '.', '4570', '12.97', '4580', '...', '...']",
844,"['2015', 'A15', '01', '1']","['100.0', '.', '.', '3121', '13.74', '3131', '13.87', '168']",
845,"['2015', 'A15', '01', '0']","['100.0', '.', '.', '1449', '11.39', '1449', '...', '...']",
846,"['2015', 'A15', '02', '2']","['100.0', '.', '.', '6014', '9.49', '6035', '...', '...']",
847,"['2015', 'A15', '02', '1']","['100.0', '.', '.', '3034', '9.28', '3046', '10.17', '231']",
848,"['2015', 'A15', '02', '0']","['100.0', '.', '.', '2980', '9.84', '2989', '...', '...']",
849,"['2015', 'A15', '03', '2']","['100.0', '.', '.', '3105', '9.05', '3110', '...', '...']",
850,"['2015', 'A15', '03', '1']","['100.0', '.', '.', '1056', '8.49', '1057', '9.77', '119']",
851,"['2015', 'A15', '03', '0']","['100.0', '.', '.', '2049', '9.68', '2053', '...', '...']",
852,"['2015', '905', '00', '2']","['100.0', '.', '.', '10577', '10.69', '10609', '...', '...']",
853,"['2015', '905', '00', '1']","['100.0', '.', '.', '5423', '10.88', '5445', '11.73', '344']",
854,"['2015', '905', '00', '0']","['100.0', '.', '.', '5154', '10.42', '5164', '...', '...']",
855,"['2015', '905', '01', '2']","['100.0', '.', '.', '3634', '13.65', '3644', '...', '...']",
856,"['2015', '905', '01', '1']","['100.0', '.', '.', '2547', '14.41', '2557', '14.54', '130']",
857,"['2015', '905', '01', '0']","['100.0', '.', '.', '1087', '11.92', '1087', '...', '...']",
858,"['2015', '905', '02', '2']","['100.0', '.', '.', '4564', '9.71', '4582', '...', '...']",
859,"['2015', '905', '02', '1']","['100.0', '.', '.', '2240', '9.43', '2252', '11.10', '158']",
860,"['2015', '905', '02', '0']","['100.0', '.', '.', '2324', '10.15', '2330', '...', '...']",
861,"['2015', '905', '03', '2']","['100.0', '.', '.', '2379', '9.22', '2383', '...', '...']",
862,"['2015', '905', '03', '1']","['100.0', '.', '.', '636', '8.38', '636', '10.39', '56']",
863,"['2015', '905', '03', '0']","['100.0', '.', '.', '1743', '9.87', '1747', '...', '...']",
864,"['2015', '905-1', '00', '2']","['100.0', '.', '.', '5929', '11.12', '5953', '...', '...']",
865,"['2015', '905-1', '00', '1']","['100.0', '.', '.', '4223', '11.05', '4244', '12.69', '216']",
866,"['2015', '905-1', '00', '0']","['100.0', '.', '.', '1706', '11.31', '1709', '...', '...']",
867,"['2015', '905-1', '01', '2']","['100.0', '.', '.', '2583', '14.12', '2592', '...', '...']",
868,"['2015', '905-1', '01', '1']","['100.0', '.', '.', '1997', '14.89', '2006', '15.40', '92']",
869,"['2015', '905-1', '01', '0']","['100.0', '.', '.', '586', '12.25', '586', '...', '...']",
870,"['2015', '905-1', '02', '2']","['100.0', '.', '.', '2311', '9.78', '2323', '...', '...']",
871,"['2015', '905-1', '02', '1']","['100.0', '.', '.', '1776', '9.44', '1788', '11.92', '101']",
872,"['2015', '905-1', '02', '0']","['100.0', '.', '.', '535', '11.10', '535', '...', '...']",
873,"['2015', '905-1', '03', '2']","['100.0', '.', '.', '1035', '8.93', '1038', '...', '...']",
874,"['2015', '905-1', '03', '1']","['100.0', '.', '.', '450', '7.83', '450', '10.40', '23']",
875,"['2015', '905-1', '03', '0']","['100.0', '.', '.', '585', '10.48', '588', '...', '...']",
876,"['2015', '905-2', '00', '2']","['100.0', '.', '.', '4648', '9.95', '4656', '...', '...']",
877,"['2015', '905-2', '00', '1']","['100.0', '.', '.', '1200', '10.32', '1201', '10.47', '128']",
878,"['2015', '905-2', '00', '0']","['100.0', '.', '.', '3448', '9.73', '3455', '...', '...']",
879,"['2015', '905-2', '01', '2']","['100.0', '.', '.', '1051', '11.92', '1052', '...', '...']",
880,"['2015', '905-2', '01', '1']","['100.0', '.', '.', '550', '12.46', '551', '12.50', '38']",
881,"['2015', '905-2', '01', '0']","['100.0', '.', '.', '501', '10.98', '501', '...', '...']",
882,"['2015', '905-2', '02', '2']","['100.0', '.', '.', '2253', '9.60', '2259', '...', '...']",
883,"['2015', '905-2', '02', '1']","['100.0', '.', '.', '464', '9.42', '464', '9.75', '57']",
884,"['2015', '905-2', '02', '0']","['100.0', '.', '.', '1789', '9.69', '1795', '...', '...']",
885,"['2015', '905-2', '03', '2']","['100.0', '.', '.', '1344', '9.50', '1345', '...', '...']",
886,"['2015', '905-2', '03', '1']","['100.0', '.', '.', '186', '9.49', '186', '10.36', '33']",
887,"['2015', '905-2', '03', '0']","['100.0', '.', '.', '1158', '9.51', '1159', '...', '...']",
888,"['2015', 'A16', '00', '2']","['100.0', '.', '.', '4071', '9.74', '4084', '...', '...']",
889,"['2015', 'A16', '00', '1']","['100.0', '.', '.', '2001', '10.05', '2009', '10.59', '185']",
890,"['2015', 'A16', '00', '0']","['100.0', '.', '.', '2070', '9.35', '2075', '...', '...']",
891,"['2015', 'A16', '01', '2']","['100.0', '.', '.', '1156', '11.64', '1164', '...', '...']",
892,"['2015', 'A16', '01', '1']","['100.0', '.', '.', '722', '13.15', '728', '13.32', '56']",
893,"['2015', 'A16', '01', '0']","['100.0', '.', '.', '434', '9.82', '436', '...', '...']",
894,"['2015', 'A16', '02', '2']","['100.0', '.', '.', '2010', '9.25', '2012', '...', '...']",
895,"['2015', 'A16', '02', '1']","['100.0', '.', '.', '938', '9.28', '940', '10.23', '89']",
896,"['2015', 'A16', '02', '0']","['100.0', '.', '.', '1072', '9.20', '1072', '...', '...']",
897,"['2015', 'A16', '03', '2']","['100.0', '.', '.', '905', '9.12', '908', '...', '...']",
898,"['2015', 'A16', '03', '1']","['100.0', '.', '.', '341', '9.02', '341', '9.67', '40']",
899,"['2015', 'A16', '03', '0']","['100.0', '.', '.', '564', '9.24', '567', '...', '...']",
900,"['2015', '272', '00', '2']","['100.0', '.', '.', '3300', '10.16', '3309', '...', '...']",
901,"['2015', '272', '00', '1']","['100.0', '.', '.', '1716', '10.37', '1724', '10.99', '155']",
902,"['2015', '272', '00', '0']","['100.0', '.', '.', '1584', '9.84', '1585', '...', '...']",
903,"['2015', '272', '01', '2']","['100.0', '.', '.', '923', '12.75', '930', '...', '...']",
904,"['2015', '272', '01', '1']","['100.0', '.', '.', '638', '13.89', '644', '14.48', '48']",
905,"['2015', '272', '01', '0']","['100.0', '.', '.', '285', '10.63', '286', '...', '...']",
906,"['2015', '272', '02', '2']","['100.0', '.', '.', '1622', '9.65', '1624', '...', '...']",
907,"['2015', '272', '02', '1']","['100.0', '.', '.', '783', '9.55', '785', '10.76', '69']",
908,"['2015', '272', '02', '0']","['100.0', '.', '.', '839', '9.78', '839', '...', '...']",
909,"['2015', '272', '03', '2']","['100.0', '.', '.', '755', '9.25', '755', '...', '...']",
910,"['2015', '272', '03', '1']","['100.0', '.', '.', '295', '9.07', '295', '9.69', '38']",
911,"['2015', '272', '03', '0']","['100.0', '.', '.', '460', '9.49', '460', '...', '...']",
912,"['2015', 'A17', '00', '2']","['100.0', '.', '.', '56337', '10.51', '56479', '...', '...']",
913,"['2015', 'A17', '00', '1']","['100.0', '.', '.', '28797', '10.88', '28877', '11.56', '3542']",
914,"['2015', 'A17', '00', '0']","['100.0', '.', '.', '27540', '9.97', '27602', '...', '...']",
915,"['2015', 'A17', '01', '2']","['100.0', '.', '.', '17565', '12.90', '17616', '...', '...']",
916,"['2015', 'A17', '01', '1']","['100.0', '.', '.', '11834', '13.68', '11873', '14.47', '1260']",
917,"['2015', 'A17', '01', '0']","['100.0', '.', '.', '5731', '11.22', '5743', '...', '...']",
918,"['2015', 'A17', '02', '2']","['100.0', '.', '.', '27053', '10.11', '27119', '...', '...']",
