"","vuosi_","maakunta","omaluok","N","tulkotielaintuotto","tulkasvituotto","tulpuutarhatuotto","tulmuutulo","tultuet","tulliikevaihto","tulvarastomuutos","tulluovutukset","tultilatuotto","tulinvestointituki","tulmuutuotto","tulkokonaistuotto_vara","tultarvikkeet","tultilakaytto","tulelaintenosto","tulostopalvelut","tulpalkat","tulkonevuokra","tulmuumuuttuva","tulpalkkavaatimus","tulvuokrat","tulvakuutuksetyht","tulkoneymskpito","tulmuukiintea","tulkayttokate","tulrakepoisto","tulkonepoisto","tulmuupoisto","tulliiketulos","tulnettorahoituskulut","tulnettotulos","tuloponkorko","tulyrittajanvoitto_vara","eyelain","otos"
"111",22,-1,1,1811848,42897.0724634,24578.8443399,15266.1967438,2740.79468759,50981.9431162,136464.851351,3119.377779,156.713820762,9505.71730161,1084.66449165,3610.64885856,153941.973602,-42926.1335736,-9505.71730161,-5874.14548916,-9127.7375705,-5877.1784093,-660.979606523,-5723.78716289,-26790.0904265,-7408.95382938,-7789.890407,-10450.3574465,-6530.33370571,15276.6686738,-6932.9566616,-14617.0882264,-1381.58023709,-7654.95645122,-2527.97541324,-10182.9318645,-14946.2366135,-25129.168478,20.7291484164,408
"112",22,-1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",22,1,1,228189,15755.3400903,28486.0945605,19269.8442125,4368.72056374,49680.379278,117560.378705,1271.6572592,51.5538842801,5765.89709692,785.39948306,8149.61269426,133584.499123,-36099.6526193,-5765.89709692,-202.145725692,-6196.80219761,-7707.2581791,-77.9611908988,-5652.22106184,-23335.6260994,-8018.59334245,-7849.01586637,-10996.7839171,-6841.75998181,14840.7818441,-4944.03803803,-14841.1078934,-1452.53683863,-6396.90092594,-1789.24627966,-8186.14720561,-16504.4874129,-24690.6346185,6.77301973364,59
"114",22,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",22,2,1,396482,40519.5298823,38618.3565888,28129.4931265,2612.4441894,50538.2604105,160418.084198,2089.77069365,102.627867091,6394.28162739,1106.50290956,3966.44271964,174077.710015,-51428.6965232,-6394.28162739,-9081.74109327,-8846.72397395,-7127.26747144,-870.019093048,-7139.05480135,-27216.6937818,-10383.9707307,-7814.47646158,-11517.5291643,-7377.02146123,18880.2338316,-7691.15609478,-15480.3994898,-1735.3273251,-6026.64907802,-3880.0313249,-9906.68040292,-20444.2497731,-30350.930176,22.7166085724,95
"116",22,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",22,4,1,199800,56422.4918218,26394.5693631,13094.4710711,3847.50676426,42115.2080918,141874.247112,1523.57964464,804.640655656,7561.1921021,884.329082833,3792.77466216,156440.76326,-53900.4878116,-7561.1921021,-9187.01674675,-9844.30758258,-6280.6523974,-294.053583584,-5625.63352728,-24675.7637638,-7507.63174925,-7287.95037412,-9430.70866116,-5741.9711524,9103.39380756,-6100.65854855,-14497.6856557,-864.818538539,-12359.7689352,-2200.46043794,-14560.2293731,-12031.5446772,-26591.7740503,27.414024024,36
"118",22,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",22,5,1,127400,24769.8795918,35797.4519466,2470.63657771,1362.42958399,51469.316405,115869.714105,5567.25456829,105.178461538,6194.3933595,752.079529042,971.874529042,129460.494553,-32738.9271429,-6194.3933595,-378.219466248,-5024.17963893,-2232.29889325,-152.443069074,-3021.07088697,-28193.3437991,-7120.80145997,-7567.57868917,-9200.99383046,-4929.3039168,22706.9404003,-4733.62175824,-12287.9134066,-1249.31783359,4436.08740188,-2414.45959184,2021.62781005,-18590.4636264,-16568.8358163,13.8966718995,13
"120",22,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",22,6,1,231795,44382.4922611,19623.7464116,9662.69951466,2796.88066917,53608.4390535,130074.25791,5892.44022779,60.4832083522,9761.23098635,1414.09026079,2929.11834897,150131.620942,-37466.4731486,-9761.23098635,-11657.1060724,-9859.99846123,-3839.31566479,-1540.21391221,-6135.84103035,-27403.6785953,-6935.24242443,-7401.2853493,-11082.5662476,-6082.00921698,10966.6598327,-8112.06216696,-13189.8784881,-1512.29367829,-11847.5745007,-2305.14459233,-14152.719093,-12524.2996196,-26677.0187126,15.3717585798,41
"122",22,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",22,7,1,105100,23076.1737012,30272.6731185,5425.60211227,1432.23014748,51990.5396361,112197.218716,1761.95221931,140.821484301,8534.68228116,864.882457184,2145.57617745,125645.133335,-33334.3155376,-8534.68228116,-55.875356803,-7132.3498882,-1368.80027117,-0.776403425309,-4855.24381066,-27603.6162036,-6953.77768078,-8258.65647479,-8234.36805423,-6364.74987155,12947.921501,-7562.19957897,-16342.5468958,-1553.98201951,-12510.8069933,-962.568950999,-13473.3759443,-16193.7092008,-29667.0851451,11.3859205519,14
"124",22,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",22,8,1,114198,19390.6652568,18900.8103284,14728.4279847,2703.76340636,54256.9412885,109980.608265,10085.3289191,13.2659941505,5747.76196501,522.925616035,3233.98996664,129583.880726,-33825.609193,-5747.76196501,-49.6260880226,-9601.9547359,-4288.84300513,-990.952643654,-3144.00880585,-21363.6385926,-9037.3715284,-7137.57605729,-9239.02307843,-5067.11077033,20090.4042621,-5891.60245197,-17193.4064637,-1223.02085597,-4217.62550955,-1539.29373299,-5756.91924254,-15325.6242444,-21082.5434869,7.73404963309,20
"126",22,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",22,9,1,73298,39703.1380009,12309.8968831,0,2229.24489713,41366.9089305,95609.1887117,1039.81161246,2.41295124014,10251.5645948,1342.1005022,1326.78218846,109571.860561,-26719.9803031,-10251.5645948,-4011.3934623,-7678.56695981,-2412.51555445,-68.2528575132,-3153.47601285,-22279.4248138,-3026.18823297,-6888.86865535,-8867.74614723,-5261.57707605,8952.30589061,-5661.02358414,-10405.6636248,-1099.47947788,-8213.8607962,-1982.20642214,-10196.0672183,-10128.8508476,-20324.918066,17.7258623701,39
"128",22,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",22,10,1,112398,55164.9496784,8925.49061371,16656.8648375,752.942387409,53397.8834445,134898.130961,2624.33857631,17.3914340113,16566.3209707,1212.4100605,2384.72388032,157703.315883,-42551.0804407,-16566.3209707,-2962.77625047,-11919.584239,-8767.6640587,-688.089358974,-5400.45307755,-29382.3807541,-4822.00177886,-7969.44799463,-11227.4572326,-9275.46076807,6170.59895897,-8338.60085758,-15647.6238681,-679.411865514,-18495.0376323,-4207.97105785,-22703.0086901,-7351.46718483,-30054.4758749,32.4902605029,27
"130",22,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",22,11,1,223188,87799.1084298,4896.88440373,12611.959039,2846.4513826,57822.8243978,165977.227653,1996.04822405,111.358730039,20801.6023863,1620.93970796,2639.02943442,193146.206136,-51146.5863446,-20801.6023863,-7938.58765722,-13330.9032542,-8239.09472637,-914.393557808,-7221.43839539,-32587.9578472,-4192.10603635,-8984.10332271,-10757.0014175,-6653.97578571,20378.4554043,-8341.81504543,-14506.4646532,-1529.17825098,-3999.00254534,-2047.03478422,-6046.03732956,-11255.813411,-17301.8507406,41.0594320035,64
"132",22,11,5,1,169.41,51461.57,181.58,4104.32,57557.4,113474.28,3976.63,90.53,2127.38,636.99,3193.95,123499.75,-31407.43,-2127.38,-115.97,-5379.37,-905.32,-557.19,-2965.21,-18349.89,-12100.25,-7936.89,-11058.88,-6036.97,24559.01,-4153.76,-18704.23,-2009.85,-308.83,-3069.08,-3377.9,-19383.7,-22761.59,0.13,-2
"133",23,-1,1,1766242,39157.2032489,26421.9949301,19494.3185001,2078.01144905,49804.6898579,136956.217986,-406.038808244,152.547844961,9853.46722757,1070.15647248,3528.18567096,151154.536394,-39727.9610803,-9853.46722757,-4194.04196743,-9886.34802074,-7168.45931257,-561.102531878,-5937.22606239,-25492.7104395,-7786.47119339,-7782.49929861,-10984.2110239,-6619.29403442,15160.7442012,-6926.80973067,-15078.7846321,-1294.95036616,-8139.80052776,-2470.34206711,-10610.1425949,-13557.3687072,-24167.511302,18.42464228,407
"134",23,-1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",23,1,1,222785,18187.0775079,30382.9128326,27164.8973809,1912.68462046,49128.6251184,126776.19746,-402.678418745,100.642362367,5987.0592947,1176.96593043,8243.45258774,141881.639217,-37745.7528549,-5987.0592947,-228.351770541,-6643.01806737,-10088.699603,-134.453852189,-7573.6050143,-22967.1030994,-7750.30334861,-8568.79406239,-12104.4435242,-6691.15725816,15398.897467,-5986.11428907,-14900.6800695,-1462.07655466,-6949.97344624,-2031.41807819,-8981.39152443,-15097.3350835,-24078.7266079,7.22542271697,58
"136",23,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",23,2,1,386886,32276.0202566,33219.2608637,29896.2884346,3024.62955152,45736.5160386,144152.715145,-1495.06808057,219.976524713,4609.87244116,849.430845184,3512.49542661,151849.422302,-45066.135945,-4609.87244116,-7051.65962971,-9594.29008294,-7949.53630651,-519.682885708,-7442.30638772,-23223.1968694,-8909.73997914,-7205.8435536,-10012.6443496,-7170.18022213,13094.3336493,-6138.82413546,-13587.7911009,-1480.09689265,-8112.37847968,-3300.74606946,-11413.1245491,-16934.6596723,-28347.7842214,16.1048730892,90
"138",23,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",23,4,1,191598,58975.6417708,33211.3673834,16490.2212967,1954.77294205,46660.9502344,157292.953627,-284.440964624,396.703566843,10900.6330122,800.286920114,3031.07630074,172137.212463,-52453.7595294,-10900.6330122,-8746.65358198,-9455.34045324,-6240.77635988,-490.493808651,-6246.05758583,-26749.5857786,-9513.52551378,-7800.28724606,-12202.205179,-6291.87261986,15046.0217942,-6099.16329586,-14800.0111092,-903.497923256,-6756.65053414,-2512.9251951,-9269.57572924,-11947.682694,-21217.2584232,26.3460526728,32
"140",23,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",23,5,1,127300,24240.6335428,45499.9489984,12104.3492694,2579.79497251,54567.8328594,138992.559643,-481.187175962,156.615231736,6085.96343284,1008.19958366,1679.72752553,147441.87824,-39015.7035271,-6085.96343284,-613.260204242,-6882.49921445,-5696.86269442,-779.160204242,-2983.35347604,-29340.005436,-11768.731956,-7513.52043205,-12334.6116496,-5536.80429694,18891.4017164,-7248.99282011,-22341.1594501,-836.161700707,-11534.9122545,-2296.71364886,-13831.6259034,-19494.2101728,-33325.8360762,15.6694658288,16
"142",23,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
